"WEO.Country.Code","ISO","Country","NGDP_R","NGDP_RPCH","NGDP","NGDPD","PPPGDP","NGDP_D","NGDPRPC","NGDPRPPPPC","NGDPPC","NGDPDPC","PPPPC","NGAP_NPGDP","PPPSH","PPPEX","NID_NGDP","NGSD_NGDP","PCPI","PCPIPCH","PCPIE","PCPIEPCH","FLIBOR6","TM_RPCH","TMG_RPCH","TX_RPCH","TXG_RPCH","LUR","LE","LP","GGR","GGR_NGDP","GGX","GGX_NGDP","GGXCNL","GGXCNL_NGDP","GGSB","GGSB_NPGDP","GGXONLB","GGXONLB_NGDP","GGXWDN","GGXWDN_NGDP","GGXWDG","GGXWDG_NGDP","NGDP_FY","BCA","BCA_NGDPD"
564,"PAK","Pakistan",11116.802,4.563,29075.633,278.655,987.911,261.547,57433.364,4727.329,150215.091,1439.63,5103.903,NA,0.819,29.431,15.686,13.94,203.833,2.863,207.3,3.191,NA,10.871,13.553,-5.109,-4.39,5.958,NA,193.56,4512.376,15.519,5796.265,19.935,-1283.889,-4.416,NA,NA,-20.503,-0.071,17811.31,61.259,19664.793,67.633,29075.633,-4.867,-1.747
565,"PLW","Palau",0.293,0.018,0.303,0.303,0.269,103.214,16235.68,13778.112,16757.568,16757.568,14875.663,NA,NA,1.127,28.44,NA,121.05,-1.033,121.6,0.413,NA,5.502,2.774,-1.545,28.061,NA,NA,0.018,0.125,41.196,0.114,37.674,0.011,3.522,NA,NA,NA,NA,NA,NA,NA,NA,0.303,-0.036,-11.747
283,"PAN","Panama",38.134,4.989,57.821,57.821,96.976,151.624,9446.087,22249.307,14322.581,14322.581,24021.665,NA,0.08,0.596,44.65,39.184,103.527,0.74,104,1.463,NA,0.587,0.039,-2.62,-7.361,5.494,NA,4.037,11.669,20.182,12.694,21.953,-1.024,-1.771,-1.001,-1.714,-0.078,-0.135,20.193,34.923,21.601,37.358,57.821,-3.16,-5.465
853,"PNG","Papua New Guinea",58.922,1.592,59.312,18.931,28.891,100.662,7287.855,3309.791,7336.102,2341.536,3573.446,NA,0.024,2.053,NA,NA,632.081,6.674,630.979,6.612,NA,-12.441,-18.62,32.798,33.363,NA,NA,8.085,10.486,17.679,13.572,22.883,-3.087,-5.204,NA,NA,-1.839,-3.1,NA,NA,21.911,36.941,59.312,4.569,24.135
288,"PRY","Paraguay",193247.696,4.313,204447.278,36.054,83.286,105.795,28192674.566,11254.027,29826568.222,5259.938,12150.512,NA,0.069,2454.758,19.724,20.877,94.55,4.082,95.7,3.909,NA,-1.653,-2.162,6.251,6.365,5.998,NA,6.855,39005.06,19.078,39816.969,19.475,-811.909,-0.397,-646.291,-0.315,1008.123,0.493,30909.496,15.119,38691.217,18.925,204447.278,0.416,1.153
293,"PER","Peru",502.374,4.035,656.694,194.542,412.146,130.718,15954.14,12123.02,20854.96,6178.179,13088.728,NA,0.341,1.593,22.22,19.527,123.863,3.593,125.715,3.235,NA,-3.014,-3.014,11.543,11.543,6.742,NA,31.489,123.412,18.793,138.201,21.045,-14.788,-2.252,-12.259,-1.855,-8.633,-1.315,45.608,6.945,160.653,24.464,656.694,-5.239,-2.693
566,"PHL","Philippines",8122.741,6.876,14479.945,304.889,806.869,178.264,78678.239,7238.827,140255.178,2953.208,7815.464,NA,0.669,17.946,24.409,24.016,108.358,1.254,109.9,2.233,NA,20.296,24.56,10.818,7.146,5.475,NA,103.24,2769.096,19.124,2822.53,19.493,-53.434,-0.369,-56.715,-0.392,212.268,1.466,NA,NA,5650.934,39.026,14479.945,-1.199,-0.393
964,"POL","Poland",1726.916,2.97,1858.468,471.173,1055.527,107.618,45484.403,25749.819,48949.279,12409.991,27801.024,NA,0.875,1.761,19.53,19.24,166.54,-0.583,165.6,0.8,NA,8.368,8.368,8.849,8.849,6.161,NA,37.967,720.789,38.784,764.43,41.132,-43.641,-2.348,-39.924,-2.138,-11.972,-0.644,891.172,47.952,1006.585,54.162,1858.468,-1.369,-0.291
182,"PRT","Portugal",174.506,1.619,185.494,205.269,300.214,106.296,16900.518,26929.833,17964.651,19879.832,29075.038,-2.457,0.249,0.618,15.482,16.076,100.636,0.636,100.74,0.881,NA,4.486,3.634,4.331,2.294,11.066,4.674,10.326,79.706,42.969,83.371,44.945,-3.665,-1.976,-2.072,-1.09,3.601,1.941,209.791,113.098,240.958,129.901,185.494,1.218,0.594
359,"PRI","Puerto Rico",10.188,-1.327,103.961,103.961,130.667,1020.464,2986.421,35477.822,30475.357,30475.357,38303.951,NA,0.108,0.796,7.985,NA,115.87,-0.294,116.646,0.453,NA,NA,NA,NA,NA,11.8,0.989,3.411,19.963,19.202,21.885,21.051,-1.922,-1.849,NA,NA,0.395,0.38,NA,NA,52.04,50.058,103.961,NA,NA
