"WEO.Country.Code","ISO","Country","NGDP_R","NGDP_RPCH","NGDP","NGDPD","PPPGDP","NGDP_D","NGDPRPC","NGDPRPPPPC","NGDPPC","NGDPDPC","PPPPC","NGAP_NPGDP","PPPSH","PPPEX","NID_NGDP","NGSD_NGDP","PCPI","PCPIPCH","PCPIE","PCPIEPCH","FLIBOR6","TM_RPCH","TMG_RPCH","TX_RPCH","TXG_RPCH","LUR","LE","LP","GGR","GGR_NGDP","GGX","GGX_NGDP","GGXCNL","GGXCNL_NGDP","GGSB","GGSB_NPGDP","GGXONLB","GGXONLB_NGDP","GGXWDN","GGXWDN_NGDP","GGXWDG","GGXWDG_NGDP","NGDP_FY","BCA","BCA_NGDPD"
146,"CHE","Switzerland",671.834,1.587,660.46,670.249,504.922,98.307,80681.434,56162.855,79315.42,80491.04,60636.733,NA,0.418,1.308,22.915,32.338,100.185,-0.434,100.24,0.015,NA,5.917,6.218,6.665,6.368,3.323,4.965,8.327,220.126,33.329,217.483,32.929,2.642,0.4,3.303,0.488,3.809,0.577,150.5,22.787,276.358,41.843,660.46,63.157,9.423
463,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,"TWN","Taiwan Province of China",15875.635,1.41,17152.093,530.608,1134.19,108.04,674416.274,44626.842,728641.762,22540.889,48181.772,NA,0.94,15.123,20.812,35.464,99.999,1.029,100,1.693,NA,-4.048,-6.313,-3.948,-5.513,3.92,11.267,23.54,2690.918,15.689,3067.943,17.887,-377.025,-2.198,-350.295,-2.022,NA,NA,5891.823,34.35,6214.461,36.232,17152.093,72.781,13.717
923,"TJK","Tajikistan",0.241,6.9,54.471,6.953,26.052,22628.176,27.559,2762.439,6235.994,795.981,2982.493,NA,0.022,2.091,20.605,15.395,1272.04,5.914,893.83,6.067,NA,-10.916,-8.575,8.139,15.69,NA,NA,8.735,16.295,29.914,21.614,39.68,-5.32,-9.766,NA,NA,-4.544,-8.341,NA,NA,22.891,42.023,54.471,-0.362,-5.21
738,"TZA","Tanzania",47164.902,6.953,103744.606,47.653,150.451,219.961,968942.076,2862.783,2131299.129,978.961,3090.829,NA,0.125,689.556,24.636,23.143,315.543,5.177,317.875,5.043,NA,-11.029,-11.029,1.899,1.899,NA,NA,48.677,16067.338,15.487,18324.784,17.663,-2257.445,-2.176,NA,NA,-656.593,-0.633,NA,NA,39387.151,37.965,103744.606,-2.137,-4.485
578,"THA","Thailand",9823.122,3.283,14533.475,411.839,1167.713,147.952,142403.031,15679.027,210687.69,5970.316,16928.003,NA,0.968,12.446,21.08,32.792,100.188,0.188,100.59,1.126,NA,-1.014,-2.286,2.789,0.271,0.75,NA,68.981,3144.311,21.951,3062.626,21.38,81.685,0.57,-112.494,-0.776,139.241,0.972,NA,NA,5988.387,41.805,14324.455,48.237,11.713
537,"TLS","Timor-Leste",1.694,5.321,2.521,2.521,7.265,80.543,2582.005,5550.915,2079.628,2079.628,5993.096,NA,0.006,0.347,26.244,NA,103.192,-1.339,103.7,0,NA,NA,NA,NA,NA,NA,NA,1.212,0.927,36.775,1.811,71.848,-0.557,-22.11,NA,NA,-0.884,-35.073,NA,NA,0.077,3.062,2.521,-0.544,-21.598
742,"TGO","Togo",2102.745,5.1,2643.472,4.46,12.192,125.715,276445.144,1484.657,347533.841,586.294,1602.923,NA,0.01,216.813,31.125,21.804,117.057,0.857,116.946,0.455,NA,-1.67,-1.801,2.316,6.388,NA,NA,7.606,571.266,21.61,824.005,31.171,-252.739,-9.561,NA,NA,-189.827,-7.181,NA,NA,2156.687,81.585,2643.472,-0.416,-9.321
866,"TON","Tonga",0.849,4.17,0.947,0.428,0.566,111.566,8438.652,5211.399,9414.648,4249.137,5626.534,NA,NA,1.673,NA,NA,110.743,2.58,113.195,6.687,NA,6.676,3.393,10.628,1.07,NA,NA,0.101,0.402,42.418,0.386,40.702,0.016,1.716,NA,NA,0.024,2.569,NA,NA,NA,NA,0.947,-0.03,-6.906
369,"TTO","Trinidad and Tobago",158.899,-6.076,151.043,22.657,43.167,95.056,116412.897,29291.583,110657.55,16598.797,31624.922,NA,0.036,3.499,NA,16.806,119.933,3.069,119.977,3.122,NA,0.663,-0.61,-20.317,-21.762,3.95,NA,1.365,34.206,22.51,52.39,34.477,-18.184,-11.967,NA,NA,-15.167,-9.981,-11.109,-7.311,56.248,37.016,151.956,-0.653,-2.883
744,"TUN","Tunisia",69.683,1.108,89.804,41.808,132.491,128.875,6110.838,10761.496,7875.335,3666.3,11618.746,NA,0.11,0.678,22.259,13.423,131.355,3.727,134.381,4.17,NA,2.251,2.251,0.223,0.223,15.544,NA,11.403,20.619,22.96,25.93,28.874,-5.311,-5.914,-5.226,-5.75,-3.325,-3.702,54.24,60.398,55.922,62.271,89.804,-3.694,-8.836
186,"TUR","Turkey",1576.365,3.184,2608.526,863.39,1996.516,165.477,19750.24,23168.705,32682.149,10817.389,25014.301,NA,1.654,1.307,28.227,24.472,280.846,7.775,292.54,8.533,NA,4.69,5.44,-1.176,3.726,10.907,NA,79.815,854.307,32.751,915.039,35.079,-60.732,-2.328,-54.351,-2.061,-24.934,-0.956,611.336,23.436,738.501,28.311,2608.526,-33.137,-3.838
925,"TKM","Turkmenistan",100.343,6.2,126.63,36.18,95.591,126.197,17783.706,15691.496,22442.474,6412.135,16941.466,NA,0.079,1.325,NA,NA,391.884,3.646,382.521,6.168,NA,-7.082,-1.373,-3.174,-4.576,NA,NA,5.642,14.862,11.737,17.857,14.101,-2.994,-2.365,NA,NA,NA,NA,NA,NA,30.478,24.068,126.63,-7.207,-19.921
869,"TUV","Tuvalu",0.038,3.035,0.049,0.037,0.04,127.957,3532.106,3371.488,4519.56,3362.05,3640.058,NA,NA,1.242,NA,NA,149.905,3.511,151.198,2.623,NA,NA,NA,NA,NA,NA,NA,0.011,0.068,137.978,0.064,130.78,0.004,7.197,NA,NA,0.001,1.799,NA,NA,0.023,47.223,0.049,0.008,23.212
746,"UGA","Uganda",55705.922,2.323,86555.302,24.509,83.482,155.379,1523655.781,2114.902,2367441.039,670.37,2283.373,NA,0.069,1036.817,24.403,21.518,158.971,5.455,164.726,5.687,NA,2.634,2.634,10.506,10.506,NA,NA,36.561,12971.93,14.987,17205.984,19.879,-4234.053,-4.892,NA,NA,-2105.241,-2.432,NA,NA,32397.32,37.43,86555.302,-0.707,-2.886
926,"UKR","Ukraine",985.299,2.441,2385.367,93.349,353.741,242.096,23230.021,7724.685,56238.892,2200.851,8340.026,NA,0.293,6.743,21.724,20.231,64137906.836,13.913,68257851.198,12.361,NA,8.103,8.103,-3.627,-3.627,9.347,NA,42.415,914.217,38.326,967.38,40.555,-53.163,-2.229,-47.601,-1.944,44.524,1.867,NA,NA,1936.29,81.174,2385.367,-1.394,-1.493
466,"ARE","United Arab Emirates",1411.057,2.988,1311.248,357.045,677.602,92.927,143167.553,63677.838,133040.864,36226.239,68750.352,NA,0.561,1.935,27.143,30.85,269.951,1.617,268.181,1.617,NA,4.446,4.125,6.882,5.124,NA,NA,9.856,378.478,28.864,404.946,30.882,-26.467,-2.018,NA,NA,-24.482,-1.867,NA,NA,265.091,20.217,1311.248,13.233,3.706
112,"GBR","United Kingdom",1969.524,1.789,1969.524,2669.107,2823.724,100,30001.28,39839.527,30001.28,40657.859,43013.105,-0.068,2.34,0.697,17.263,12.044,100.66,0.66,101.509,1.211,NA,3.291,3.81,1.04,-1.293,4.9,31.727,65.648,707.291,35.912,765.283,38.856,-57.992,-2.944,-56.741,-2.85,-27.235,-1.383,1552.808,78.842,1731.392,87.909,1969.524,-139.301,-5.219
111,"USA","United States",17659.2,1.567,18707.15,18707.15,18707.15,105.934,54575.84,53548.883,57814.534,57814.534,57814.534,-0.167,15.5,1,20.32,18.616,240.006,1.272,243.063,2.184,1.056,1.897,1.382,-0.103,0.337,4.867,151.44,323.572,5815.341,31.086,6546.983,34.997,-731.642,-3.911,-740.019,-3.949,-430.007,-2.299,15197.253,81.238,19986.304,106.838,18707.15,-432.874,-2.314
298,"URY","Uruguay",681.594,1.69,1589.195,52.687,74.715,233.159,195847.912,19884.535,456636.236,15139.12,21468.517,NA,0.062,21.27,17.798,18.577,160.138,9.639,162.23,8.103,NA,-11.444,-8.121,-5.419,-1.275,7.858,NA,3.48,465.821,29.312,526.906,33.156,-61.085,-3.844,-57.003,-3.556,-8.603,-0.541,475.658,29.931,978.487,61.571,1589.195,0.41,0.779
927,"UZB","Uzbekistan",1135.699,7.8,199993.374,67.069,207.855,17609.713,35968.304,6097.196,6333915.234,2124.128,6582.892,NA,0.172,962.178,24.802,25.375,3818.211,7.982,3975.432,7.867,NA,3.341,3.341,-14.199,-14.199,NA,NA,31.575,62536.002,31.269,61645.713,30.824,890.289,0.445,NA,NA,934.628,0.467,NA,NA,20923.533,10.462,199993.374,0.384,0.573
846,"VUT","Vanuatu",63.632,3.467,87.25,0.798,0.727,137.117,231578.27,2449.727,317532.123,2904.821,2644.869,NA,0.001,120.056,25.569,NA,146.7,0.842,147.8,2.142,NA,NA,NA,NA,NA,NA,NA,0.275,26.872,30.799,32.207,36.913,-5.335,-6.115,NA,NA,-4.427,-5.074,NA,NA,40.186,46.059,87.25,-0.037,-4.646
299,"VEN","Venezuela",NA,-16.456,0.238,236.116,435.386,50687.489,0.015,13129.769,7.733,7687.671,14175.673,NA,0.361,0.001,15.407,8.639,4894.55,254.391,8641,302.637,NA,-38.369,-39.964,-8.882,-7.845,20.638,NA,30.714,0.049,17.071,0.099,34.835,-0.05,-17.763,NA,NA,-0.048,-16.847,NA,NA,0.089,31.299,0.284,-3.87,-1.639
582,"VNM","Vietnam",3054470.219,6.211,4502732.989,201.326,596.036,147.415,32953257.34,5955.909,48577890.204,2172.012,6430.351,NA,0.494,7554.47,26.578,29.52,248.051,2.668,253.796,4.737,NA,12.51,13.068,10.723,10.73,2.33,NA,92.691,1069243,23.747,1285483,28.549,-216240,-4.802,-218473.145,NA,-129358,-2.873,NA,NA,2699026.645,59.942,4502732.989,5.924,2.942
474,"YEM","Yemen",262.446,-13.621,8890.543,36.437,76.823,3387.565,9008.815,2442.485,305179.483,1250.736,2637.051,NA,0.064,115.728,1.402,-3.724,435.717,-12.563,581.919,-2.551,NA,-15.088,-14.507,-68.984,-86.184,NA,NA,29.132,672.146,7.56,1467.495,16.506,-795.349,-8.946,NA,NA,-322.683,-3.63,5968.908,67.138,6055.654,68.113,8890.543,-1.868,-5.127
754,"ZMB","Zambia",129.7,3.757,216.098,20.941,65.42,166.614,7758.565,3624.618,12926.845,1252.698,3913.352,NA,0.054,3.303,41.757,37.296,183.66,17.869,189.64,7.469,NA,-7.224,-7.224,-4.704,-4.704,NA,NA,16.717,39.41,18.237,51.945,24.038,-12.536,-5.801,NA,NA,-5.087,-2.354,110.926,51.331,131.101,60.668,216.098,-0.934,-4.461
698,"ZWE","Zimbabwe",14.1,0.665,16.117,16.117,32.422,114.306,972.34,2070.824,1111.443,1111.443,2235.783,NA,0.027,0.497,15.556,19.109,58.704,-1.566,58.537,-0.931,NA,NA,-13.628,NA,-1.293,NA,NA,14.501,3.502,21.729,4.863,30.171,-1.361,-8.442,NA,NA,-1.234,-7.654,NA,NA,11.269,69.92,16.117,-0.553,-3.43
