Country,"Gross domestic product, constant prices - Percent change","Gross domestic product, current prices - Purchasing power parity; international dollars","Gross domestic product per capita, constant prices - Purchasing power parity; 2011 international dollar",Output gap in percent of potential GDP - Percent of potential GDP,Total investment - Percent of GDP,Gross national savings - Percent of GDP,"Inflation, average consumer prices - Percent change",Unemployment rate - Percent of total labor force,General government primary net lending/borrowing - Percent of GDP,General government net debt - Percent of GDP,Current account balance - Percent of GDP
New Zealand,4.137,179.984,35116.417,0.125,23.712,21.462,0.639,5.1,1.858,9.102,-2.25
Nicaragua,4.659,34.066,5130.58,,30.711,23.207,3.524,6.197,-0.95,,-7.504
Norway,1.091,367.051,64729.326,-0.85,29.306,33.114,3.55,4.74,1.454,-85.226,3.797
Paraguay,4.313,83.286,11254.027,,19.724,20.877,4.082,5.998,0.493,15.119,1.153
Peru,4.035,412.146,12123.02,,22.22,19.527,3.593,6.742,-1.315,6.945,-2.693
Philippines,6.876,806.869,7238.827,,24.409,24.016,1.254,5.475,1.466,,-0.393
Poland,2.97,1055.527,25749.819,,19.53,19.24,-0.583,6.161,-0.644,47.952,-0.291
Romania,4.823,443.529,20789.411,,23.785,21.707,-1.555,5.902,-1.126,27.638,-2.079
Russia,-0.2,3881.33,24971.064,,23.95,25.858,7.052,5.525,-3.215,,1.899
São Tomé and Príncipe,4.179,0.648,2891.387,,27.531,21.027,5.433,12.598,-3.725,,-6.504
Senegal,6.228,50.191,3016.405,,25.311,21.262,0.838,,-1.614,,-4.049
Slovak Republic,3.325,170.592,29118.722,1.022,22.57,21.113,-0.474,9.683,-0.839,,-1.457
Slovenia,3.148,66.574,29872.258,-2.519,18.701,24.202,-0.053,8.025,0.958,52.329,5.502
Spain,3.173,1694.645,33828.554,-2.369,20.488,22.408,-0.204,19.635,-1.978,86.205,1.921
St. Kitts and Nevis,2.873,1.49,25163.711,,30,19.33,-0.342,,5.596,,-10.67
Sweden,2.684,497.816,46131.017,0.238,24.518,28.782,1.138,6.95,1.092,8.918,4.264
Switzerland,1.587,504.922,56162.855,,22.915,32.338,-0.434,3.323,0.577,22.787,9.423
Tanzania,6.953,150.451,2862.783,,24.636,23.143,5.177,,-0.633,,-4.485
Thailand,3.283,1167.713,15679.027,,21.08,32.792,0.188,0.75,0.972,,11.713
Turkey,3.184,1996.516,23168.705,,28.227,24.472,7.775,10.907,-0.956,23.436,-3.838
Uganda,2.323,83.482,2114.902,,24.403,21.518,5.455,,-2.432,,-2.886
Ukraine,2.441,353.741,7724.685,,21.724,20.231,13.913,9.347,1.867,,-1.493
United Arab Emirates,2.988,677.602,63677.838,,27.143,30.85,1.617,,-1.867,,3.706
Uruguay,1.69,74.715,19884.535,,17.798,18.577,9.639,7.858,-0.541,29.931,0.779
Uzbekistan,7.8,207.855,6097.196,,24.802,25.375,7.982,,0.467,,0.573
Vietnam,6.211,596.036,5955.909,,26.578,29.52,2.668,2.33,-2.873,,2.942
South Sudan,-13.933,20.707,1568.091,,17.486,18.651,379.849,,-20.809,,1.263
Venezuela,-16.456,435.386,13129.769,,15.407,8.639,254.391,20.638,-16.847,,-1.639
Albania,3.352,34.027,10957.976,,24.277,16.715,1.275,15.2,0.699,68.042,-7.563
Armenia,0.261,25.878,8014.463,,19.727,16.614,-1.406,18.79,-3.693,,-2.258
Barbados,2.273,5.129,16945.92,,16.018,11.767,1.512,9.867,2.23,147.897,-4.251
Belize,-0.487,3.134,7722.974,,22.261,13.281,0.663,7.974,-1.13,,-8.98
Benin,3.969,23.592,2016.592,,24.594,15.177,-0.809,,-4.664,,-9.417
Bolivia,4.264,78.853,6702.774,,21.057,15.3,3.625,4,-6.253,28.851,-5.65
Bosnia and Herzegovina,3.215,42.729,11253.493,,15.907,11.054,-1.067,25.4,1.203,36.511,-4.853
Brazil,-3.469,3156.151,14183.68,,15.381,14.068,8.74,11.267,-2.504,46.229,-1.313
Burkina Faso,5.915,33.06,1642.172,,15.761,8.512,-0.194,,-2.522,,-7.248
Burundi,-1.042,7.857,691.114,,9,-4.085,5.527,,-5.1,,-13.085
Cambodia,6.953,58.969,3462.108,,22.9,14.264,3.025,,-1.025,,-8.636
Central African Republic,4.531,3.189,604.34,,13.701,8.178,4.6,,2.117,,-5.523
Chad,-6.431,28.995,2265.303,,16.702,7.523,-1.122,,0.061,,-9.18
Comoros,2.157,1.26,1449.531,,21.031,13.641,1.8,,-7.278,,-7.39
Democratic Republic of the Congo,2.4,65.093,716.632,,11.772,8.684,18.2,,-0.719,,-3.089
Costa Rica,4.246,79.754,15046.925,,18.377,16.085,-0.017,9.541,-2.436,,-2.293
Cyprus,3.4,30.019,32775.538,-4.6,16.723,11.904,-1.218,12.95,2.928,88.229,-4.879
Egypt,4.347,1133.869,11643.134,,15.04,9.076,10.199,12.705,-4.318,88.188,-5.965
El Salvador,2.581,49.075,7169.479,,15.107,13.017,0.604,6.899,-0.025,,-2.09
Eritrea,1.85,8.786,1398.921,,8.107,6.003,9,,-11.56,,-2.103
The Gambia,0.406,5.215,2369.478,,13.011,7.095,7.225,,-1.355,,-5.916
Ghana,3.722,121.29,4074.24,,14.487,7.802,17.455,,-1.963,66.836,-6.685
Greece,-0.244,289.811,24891.919,-9.821,10.61,9.535,0.013,23.55,3.919,,-1.075
Guatemala,3.092,131.923,7368.6,,12.888,14.378,4.448,,0.395,,1.49
Guinea-Bissau,6.263,2.938,1635.599,,8.808,10.134,1.498,,-4.915,,1.326
Guyana,3.356,6.054,7251.543,,14.593,14.97,0.827,,-3.345,50.737,0.378
Jordan,2.013,85.65,8389.588,,18.859,9.318,-0.778,15.275,-0.426,91.895,-9.541
Kenya,5.869,153.116,3120.252,,16.199,10.983,6.318,,-5.241,47.938,-5.217
Lesotho,3.061,6.635,3061.692,,27.939,19.726,6.206,,-6.141,-1.778,-8.213
Lithuania,2.345,86.423,27907.882,,17.272,16.151,0.678,7.861,1.606,32.745,-1.12
Madagascar,4.18,37.539,1395.466,,14.793,15.361,6.66,,-0.434,,0.568
Malawi,2.27,21.156,1051.693,,10.756,-2.83,21.727,,-2.502,,-13.586
Mali,5.763,38.369,1943.142,,22.765,15.519,-1.8,,-3.272,29.664,-7.247
Mauritius,3.838,26.724,19585.263,,17.901,15.847,0.978,7.3,-1.101,,-4.343
Moldova,4.3,22.266,5807.849,,19.224,15.864,6.382,4.226,-0.64,,-3.359
Myanmar,5.892,302.965,5370.173,,21.467,17.554,6.765,4,-1.21,,-3.913
Nigeria,-1.617,1091.324,5504.397,,15.367,16.045,15.696,13.375,-2.65,15.211,0.669
Pakistan,4.563,987.911,4727.329,,15.686,13.94,2.863,5.958,-0.071,61.259,-1.747
Portugal,1.619,300.214,26929.833,-2.457,15.482,16.076,0.636,11.066,1.941,113.098,0.594
Rwanda,5.982,22.823,1829.734,,25.884,6.065,5.723,,-1.337,,-15.761
Serbia,2.797,101.858,13366.131,,19.079,15.974,1.122,15.917,1.899,70.563,-3.105
Seychelles,4.503,2.563,25311.436,,30.221,10.154,-1.014,2.684,3.925,50.909,-20.067
Sierra Leone,6.297,10.931,1396.779,,12.275,7.929,10.883,,-7.632,,-2.33
Solomon Islands,3.457,1.261,1944.626,,19.112,15.17,0.503,,-3.821,-6.39,-3.942
South Africa,0.565,743.07,12374.059,,19.353,16.567,6.341,26.725,-0.655,45.248,-2.786
St. Lucia,3.37,2.422,12862.216,,17.363,15.462,-3.093,,2,,-1.901
St. Vincent and the Grenadines,0.83,1.233,10373.433,,26.082,10.284,-0.158,,2.372,80.009,-15.798
Sudan,2.994,171.623,4014.291,,14.26,13.125,17.75,20.6,-3.094,,-7.553
Tajikistan,6.9,26.052,2762.439,,20.605,15.395,5.914,,-8.341,,-5.21
Tunisia,1.108,132.491,10761.496,,22.259,13.423,3.727,15.544,-3.702,60.398,-8.836
United Kingdom,1.789,2823.724,39839.527,-0.068,17.263,12.044,0.66,4.9,-1.383,78.842,-5.219
